STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/6/1948,0.67,0,0,64,46,62,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/7/1948,0,0,0,67,54,62,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/8/1948,0.27,0,0,65,57,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/9/1948,0,0,0,68,44,66,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/10/1948,0,0,0,78,55,73,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/11/1948,0,0,0,73,59,65,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/12/1948,0,0,0,72,56,63,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/13/1948,0,0,0,66,44,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/14/1948,0.05,0,0,64,46,59,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/15/1948,0,0,0,67,45,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/16/1948,0,0,0,69,37,66,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/17/1948,0,0,0,78,52,76,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/18/1948,0.57,0,0,76,38,50,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/19/1948,0,0,0,57,30,55,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/20/1948,0,0,0,57,41,52,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/21/1948,0,0,0,56,32,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/22/1948,0,0,0,55,36,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/23/1948,0.22,0,0,55,46,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/24/1948,0.26,0,0,63,46,60,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/25/1948,0,0,0,65,52,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/26/1948,0,0,0,71,41,67,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/27/1948,0,0,0,73,40,71,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/28/1948,0,0,0,71,37,67,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/29/1948,0,0,0,74,44,70,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/30/1948,0,0,0,70,38,59,
USC00186350,"NATIONAL ARBORETUM DC, MD US",10/31/1948,0,0,0,67,40,61,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/1/1948,0.03,0,0,72,52,66,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/2/1948,0,0,0,66,52,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/3/1948,0,0,0,57,44,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/4/1948,0.26,0,0,72,56,68,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/5/1948,0,0,0,78,58,73,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/6/1948,0,0,0,79,65,77,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/7/1948,1.49,0,0,78,46,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/8/1948,0.01,0,0,65,34,59,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/9/1948,0,0,0,64,37,57,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/10/1948,0,0,0,71,51,67,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/11/1948,0.03,0,0,67,35,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/12/1948,0,0,0,60,31,55,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/13/1948,0.23,0,0,62,46,58,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/14/1948,0,0,0,58,40,51,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/15/1948,0,0,0,59,36,57,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/16/1948,0,0,0,60,30,55,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/17/1948,0.08,0,0,68,47,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/18/1948,0,0,0,65,31,61,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/19/1948,0.13,0,0,65,39,65,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/20/1948,0.02,0,0,73,63,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/21/1948,0,0,0,64,35,62,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/22/1948,0.12,0,0,62,41,52,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/23/1948,0.03,0,0,52,39,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/24/1948,0.27,0,0,48,39,48,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/25/1948,0.64,0,0,53,41,51,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/26/1948,0,0,0,61,29,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/27/1948,0.61,0,0,65,41,61,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/28/1948,0.44,0,0,61,34,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/29/1948,1.34,0,0,40,35,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",11/30/1948,0,0,0,50,30,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/1/1948,0,0,0,56,28,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/2/1948,0,0,0,50,21,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/3/1948,0.29,0,0,47,40,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/4/1948,1.53,0,0,62,47,59,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/5/1948,0,0,0,60,33,55,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/6/1948,0.01,0,0,65,48,60,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/7/1948,0,0,0,60,29,53,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/8/1948,0,0,0,54,42,52,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/9/1948,0,0,0,52,27,39,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/10/1948,0,0,0,42,29,39,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/11/1948,0,0,0,41,23,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/12/1948,0.02,0,0,52,31,52,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/13/1948,0,0,0,70,41,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/14/1948,0,0,0,64,44,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/15/1948,0.93,0,0,56,32,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/16/1948,0.48,0,0,41,36,41,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/17/1948,0.05,0,0,53,34,46,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/18/1948,0,0,0,46,30,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/19/1948,0.65,3,3,38,29,32,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/20/1948,0,0,0,36,28,33,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/21/1948,0,0,0,50,27,48,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/22/1948,0,0,0,50,30,44,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/23/1948,0,0,0,44,33,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/24/1948,0,0,0,38,29,33,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/25/1948,0,0,0,34,25,30,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/26/1948,0,0,0,30,12,25,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/27/1948,0,0,0,39,9,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/28/1948,0,0,0,49,16,46,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/29/1948,0.22,0,0,46,31,45,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/30/1948,1.16,0,0,57,38,39,
USC00186350,"NATIONAL ARBORETUM DC, MD US",12/31/1948,0.01,0,0,39,32,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/1/1949,0,0,0,42,33,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/2/1949,0,0,0,42,30,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/3/1949,0,0,0,49,24,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/4/1949,0.07,0,0,47,32,41,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/5/1949,0.92,0,0,45,38,45,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/6/1949,0.59,0,0,55,42,53,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/7/1949,0,0,0,59,32,58,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/8/1949,0,0,0,64,36,60,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/9/1949,0,0,0,61,39,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/10/1949,0,0,0,58,34,58,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/11/1949,0,0,0,58,33,48,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/12/1949,0.2,,0,48,31,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/13/1949,0,0,0,50,32,49,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/14/1949,0,0,0,50,32,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/15/1949,0,0,0,47,25,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/16/1949,0,0,0,65,29,65,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/17/1949,0,0,0,65,49,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/18/1949,0,0,0,56,40,45,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/19/1949,0.02,0,0,64,43,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/20/1949,0,0,0,54,29,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/21/1949,0.38,0,0,40,24,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/22/1949,0.84,0,0,58,37,53,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/23/1949,0,0,0,53,35,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/24/1949,0.31,0,0,56,33,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/25/1949,0.04,0,0,56,49,50,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/26/1949,0.32,0,0,50,36,44,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/27/1949,0,0,0,44,36,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/28/1949,0.64,0,0,72,38,71,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/29/1949,0,0,0,71,37,39,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/30/1949,0,,0,39,19,29,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/31/1949,0.87,,0,34,22,34,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/1/1949,0,,,43,26,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/2/1949,0,,,42,21,41,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/3/1949,0,,,46,14,44,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/4/1949,0.43,,,51,35,51,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/5/1949,0,,,51,36,45,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/6/1949,0,,,45,24,44,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/7/1949,0.46,,,54,37,52,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/8/1949,0,,,59,23,58,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/9/1949,0,,,69,41,60,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/10/1949,0.22,,,60,31,33,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/11/1949,0.01,,,37,27,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/12/1949,0,,,50,20,50,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/13/1949,0,,,67,40,66,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/14/1949,0.12,,,67,54,63,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/15/1949,0,,,78,49,75,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/16/1949,0.39,,,75,40,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/17/1949,0.17,,,49,35,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/18/1949,0,,,55,25,53,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/19/1949,0.02,,,56,42,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/20/1949,0.37,,,67,49,62,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/21/1949,0,,,62,38,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/22/1949,0.14,,,48,38,48,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/23/1949,0.17,,,55,43,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/24/1949,0,,,56,30,55,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/25/1949,0,,,60,44,50,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/26/1949,0,,,50,34,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/27/1949,0,,,47,26,45,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/28/1949,0.74,,2,45,24,35,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/1/1949,0,0,0,38,22,37,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/2/1949,0,0,0,44,24,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/3/1949,0,0,0,45,35,41,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/4/1949,0,0,0,54,23,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/5/1949,0,0,0,66,38,63,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/6/1949,0,0,0,72,45,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/7/1949,0,0,0,55,29,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/8/1949,0,0,0,57,22,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/9/1949,0,0,0,60,26,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/10/1949,0.02,0,0,56,42,43,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/11/1949,0.35,0,0,47,34,45,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/12/1949,0,0,0,45,31,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/13/1949,0,0,0,52,31,50,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/14/1949,0,0,0,58,31,53,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/15/1949,0.05,0.5,0,54,29,34,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/16/1949,0,0,0,44,24,43,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/17/1949,0,0,0,49,31,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/18/1949,0.76,0,0,47,34,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/19/1949,0,0,0,40,23,37,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/20/1949,0,0,0,48,25,48,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/21/1949,0,0,0,67,28,66,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/22/1949,0,0,0,71,47,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/23/1949,1.17,0,0,72,55,68,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/24/1949,0,0,0,68,41,60,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/25/1949,0.09,0,0,60,46,57,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/26/1949,0.06,0,0,65,55,65,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/27/1949,0,0,0,83,60,83,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/28/1949,0.09,0,0,83,57,61,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/29/1949,0,0,0,76,44,75,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/30/1949,0,0,0,82,51,80,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/31/1949,0.42,0,0,80,49,49,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/1/1949,0.72,0,0,49,40,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/2/1949,0,0,0,59,35,59,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/3/1949,0,0,0,62,40,58,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/4/1949,0.07,0,0,61,42,60,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/5/1949,0,0,0,61,33,53,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/6/1949,0.64,0,0,60,42,59,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/7/1949,0.02,0,0,60,40,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/8/1949,0.27,0,0,61,40,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/9/1949,0,0,0,60,39,58,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/10/1949,0,0,0,63,38,62,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/11/1949,0,0,0,63,43,60,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/12/1949,0,0,0,72,39,69,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/13/1949,0.15,0,0,70,52,60,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/14/1949,0.06,0,0,75,51,73,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/15/1949,0,0,0,86,49,84,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/16/1949,0,0,0,85,42,46,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/17/1949,0,0,0,59,32,57,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/18/1949,0.19,0,0,62,45,62,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/19/1949,0.24,0,0,63,38,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/20/1949,0,0,0,67,40,66,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/21/1949,0,0,0,79,45,77,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/22/1949,0,0,0,77,52,59,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/23/1949,0.22,0,0,75,51,73,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/24/1949,0,0,0,74,48,55,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/25/1949,0,0,0,65,40,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/26/1949,0,0,0,85,44,83,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/27/1949,0.02,0,0,85,59,70,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/28/1949,0,0,0,71,51,66,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/29/1949,0,0,0,68,32,66,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/30/1949,0,0,0,73,38,69,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/1/1949,0.13,0,0,77,59,69,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/2/1949,0.01,0,0,75,64,70,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/3/1949,1.22,0,0,83,57,81,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/4/1949,0,0,0,89,50,88,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/5/1949,0,0,0,90,56,89,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/6/1949,0.02,0,0,93,65,92,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/7/1949,0,0,0,93,64,79,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/8/1949,0.06,0,0,79,51,72,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/9/1949,0,0,0,79,47,77,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/10/1949,0.1,0,0,77,58,59,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/11/1949,0.08,0,0,59,48,51,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/12/1949,0.07,0,0,72,38,71,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/13/1949,0,0,0,73,45,73,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/14/1949,0,0,0,85,49,84,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/15/1949,0.01,0,0,85,56,78,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/16/1949,0.97,0,0,78,56,68,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/17/1949,0,0,0,78,58,77,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/18/1949,0,0,0,86,60,86,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/19/1949,0,0,0,89,67,88,
USC00186350,"NATIONAL ARBORETUM DC, MD US",5/20/1949,0.02,0,0,89,66,67,
